Title,Description,Author,Genre,Price,Quantity
Under the Red Sky,A young girl's journey through a post-apocalyptic world.,Lisa Adams,Fiction,$17.99,10
The Gardner's Diary,A meticulous gardener discovers a hidden world.,Mark Wilson,Fantasy,$16.99,15
Quantum Revelations,A physicist unravels the fabric of reality.,Sarah Brown,Fiction,$19.99,15
Star-Crossed,A modern reimagining of Romeo and Juliet.,Emily Clark,Romance,$15.99,15
Behind Closed Doors,A look into the darker side of suburbia.,David Lewis,Mystery,$18.99,15
Ascendancy of the Last,The last member of a fallen dynasty seeks vengeance.,Tim Johnson,Fiction,$21.99,10
Paradise Found,A travelogue of hidden paradises around the world.,Kelly Smith,Travel,$13.99,10
To Catch a Comet,The race to intercept a comet that could alter humanity.,Laura Wilson,Fiction,$20.99,10
A Symphony of Echoes,The life of a musician told through her diary entries.,Alice Stevens,Biography,$22.99,10
The Endless Corridor,A detective navigates a maze-like crime scene.,Robert Parker,Thriller,$14.99,10
The Midnight Hour,Ghost hunters explore a haunted mansion.,Brian Johnson,Horror,$16.99,10
Labyrinth of Dreams,A journey through the complexities of the human mind.,Sandra Lee,Psychological,$17.99,5
The Forgotten Recipe,A cookbook with recipes that have a magical twist.,Rachel Green,Fiction,$24.99,5
Cosmic Strings,Essays on the intersection of science and spirituality.,Steve Miller,Philosophy,$19.99,5
The Hidden Gem,A treasure hunter uncovers an ancient secret.,Carol White,Adventure,$15.99,15
Road to Redemption,A criminal tries to turn his life around.,Mike Davis,Crime,$18.99,15
Virtual Reality,A guide to the future of VR and its societal impact.,Linda Kim,Non-Fiction,$25.99,15
Infinite Loop,A programmer finds himself stuck in a code-generated world.,William Taylor,Fiction,$14.99,15
Secrets of the Heart,A romance novel set in the heart of Paris.,Emily Adams,Romance,$17.99,15
Children of the Night,The battle between vampires and werewolves.,James Scott,Fantasy,$16.99,15
Blue Moon,A police officer investigates a series of mysterious murders.,Jessica Lee,Thriller,$19.99,15
Between Worlds,A young woman finds herself in a parallel universe.,Michelle Davis,Fantasy,$18.99,5
Of Gods and Men,The rise and fall of a mythical empire.,Peter Smith,Fantasy,$20.99,5
Recipe for Disaster,A chef has to solve a murder mystery at his restaurant.,Mary Johnson,Mystery,$15.99,5
The Aspiring Astronaut,A young boy's dream to go to space.,Richard White,Fiction,$12.99,5
Memories in a Bottle,Stories of old love and nostalgia.,Lisa Johnson,Fiction,$14.99,5
In the Eye of the Storm,Surviving a deadly hurricane.,Karen Lee,Natural Disaster,$18.99,5
The Ghost of the Opera House,Exploring an abandoned opera house to find a ghost.,Sarah Miller,Horror,$17.99,5
When Technology Fails,What happens when all technology suddenly stops.,William Green,Fiction,$16.99,5
Beyond the Clouds,The autobiography of a legendary pilot.,John Smith,Biography,$23.99,10
Harmony in Chaos,The tale of a young woman learning to find peace amidst chaos.,Oliver Allen,Drama,$16.99,10
Journey to the Seventh Planet,A space crew faces unforeseen dangers on a distant planet.,Kate Taylor,Fiction,$19.95,10
Mystery of the Clock Tower,Detectives work against the clock to solve an ancient riddle.,Sophie Williams,Mystery,$18.50,10
Days of Yore,A knight sets out on a quest to reclaim his family's honor.,George Simmons,Fiction,$20.00,10
The Lost Chef,A renowned chef travels the world to reclaim his lost skills.,Natalie Brown,Fiction,$21.95,10
Vanishing Point,A photojournalist discovers a portal to alternate dimensions.,Michael Carter,Fantasy,$14.99,10
Awakening,A woman finds she has the ability to awaken inanimate objects.,Fiona King,Magical Realism,$17.00,5
Forty-Two,A philosophical novel that tackles the meaning of life.,Jason Lee,Philosophy,$23.99,5
Citizen X,A man with no identity becomes a revolutionary.,Lisa Harris,Thriller,$19.99,5
Enigma of the Pharaoh,Archaeologists decode secrets in an Egyptian tomb.,Paul Robinson,Adventure,$16.50,5
Invisible Ink,A love story written in letters that disappear after reading.,Emily Davis,Romance,$17.95,5
Specters of the Old Castle,Ghostly encounters at an abandoned castle.,Kevin Miller,Horror,$16.00,5
Pixelated Reality,A gamer's world turns into a video game.,Caroline Adams,Young Adult,$13.99,5
Dreams in the Sky,Pilots in a secret war use dream manipulation.,Jacob Thompson,Fiction,$18.45,15
Quantum Symphony,Musicians create music that changes the fabric of space-time.,Sarah Lewis,Fantasy,$15.99,15
Survival in the Deep,A deep-sea explorer's journey into the abyss.,Mike Walker,Adventure,$22.99,15
Whispers in the Forest,A mysterious forest grants wishes but at a terrible price.,Karen Smith,Fantasy,$18.00,15
Corporate Labyrinth,An employee uncovers dark secrets at her workplace.,Patricia Lee,Thriller,$19.95,15
The Moonlit Garden,A garden that only appears on full moon nights.,Clara James,Mystery,$17.50,15
Eagle's Talon,A lawyer is dragged into a world of crime and revenge.,Brian Clark,Thriller,$16.99,5
The Blind Seer,A prophet who cannot see foretells an ominous future.,Alice White,Fantasy,$20.00,5
Time's Adversary,A man discovers he ages backward.,Timothy King,Fiction,$14.99,5
Alchemy of Love,A scientist discovers the formula for love.,Elizabeth Williams,Romance,$21.99,5
Ruins of Avalon,A modern-day archaeologist discovers the real Avalon.,Nathan Roberts,Adventure,$22.95,5
Sands of Time,A time-traveler gets stuck in ancient Egypt.,Maria Davis,Fiction,$24.99,5
The Sculptor's Muse,A sculptor's creations come to life.,William James,Fantasy,$17.45,10
"Mirror, Mirror",A mirror reflects alternate realities.,Angela Miller,Thriller,$16.99,10
The Whispering Willow,A young girl communicates with her deceased grandmother through a willow tree.,Grace Smith,Fantasy,$15.50,10
Two Moons,"The earth suddenly has two moons, causing chaos.",John Harris,Fiction,$19.00,10
Beneath the Surface,A detective digs deep into a seemingly simple case.,Linda King,Mystery,$18.99,10
Ripples in Reality,A physicist investigates disruptions in the space-time continuum.,Mark Johnson,Fiction,$22.50,10
Legacy of the Mask,A curator discovers a mask with transformative powers.,Laura Adams,Mystery,$18.95,10
Orchard of Illusions,A farm where illusions become reality and reality fades away.,Susan Lee,Fantasy,$15.99,10
Pawns in the Game,Spies find themselves as mere pawns in a larger geopolitical game.,Peter King,Thriller,$24.99,10
Starlight & Strings,A musician's melodies bring forth celestial phenomena.,Helen Davis,Fantasy,$17.00,5
Vortex of Silence,A journalist is pulled into a conspiracy of global silence.,Oliver Smith,Thriller,$20.95,5
Gardens of Solitude,A hermit discovers his garden has magical properties.,Maria Collins,Fantasy,$19.99,5
Chords of Destiny,Music school students discover ancient melodies that can shape destiny.,Emily Williams,Young Adult,$14.45,5
Eclipsing Shadows,A solar eclipse unveils a hidden world.,Jacob Thompson,Fiction,$16.99,5
Cryptic Codes,An archaeologist finds codes that could reveal humanity's origins.,Karen White,Adventure,$21.50,5
Circles in the Sand,A love story that transcends time and space.,Patricia Allen,Romance,$23.99,15
Highway of Souls,Drivers on a highway find themselves in the afterlife.,George Lewis,Horror,$19.95,15
Inferno in a Teacup,One sip from a mysterious teacup sends people to different realms.,William Johnson,Fantasy,$15.00,15
Beyond the Shutter,A photographer's pictures show glimpses of the future.,Michael Moore,Fiction,$22.99,15
Wind Chasers,Adventurers use gliders to chase and harness the winds of fate.,Nancy Taylor,Adventure,$24.95,15
Whispers of the Mind,A psychiatrist's patients start to manifest their dreams.,Kevin Brown,Thriller,$18.00,15
Quill & Candle,A magical quill and a mystical candle change the life of a writer.,Rachel Green,Mystery,$16.99,5
Requiem for a Dreamer,A musician dreams the future but at a high price.,Caroline Carter,Fantasy,$20.50,5
Wings of Despair,A guardian angel faces existential questions.,Robert Davis,Fantasy,$19.95,5
The Catalyst,One man's actions trigger a chain of events changing many lives.,Susan Brown,Thriller,$17.45,10
Ocean's Echo,A sea-shell conveys the sounds of alternate realities.,Timothy Miller,Fantasy,$15.99,10
The Twisted Oak,An old tree serves as a portal to another dimension.,Elizabeth King,Fantasy,$20.00,10
Labyrinth of Shadows,A maze with shifting walls traps explorers.,William Brown,Adventure,$18.95,5
Palace of Mirrors,A palace that shows reflections of other worlds.,Margaret Johnson,Fantasy,$21.50,5
The Longest Echo,Echoes in a valley reveal the future.,Donald Taylor,Fiction,$19.00,5
Galaxies Within,A woman's dreams affect celestial events.,Maria Roberts,Fiction,$23.99,5
Chessboard of Fate,People find their actions are being manipulated like chess pieces.,John Lewis,Thriller,$18.99,5
